ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
90403,11,2018,RESIDENTIAL,N,12390,256904,20.7348
90403,12,2018,COMMERCIAL,Y,333,157436,472.7808
90403,12,2018,INDUSTRIAL,Y,,,
90403,12,2018,RESIDENTIAL,N,12395,427603,34.4980
90404,10,2018,COMMERCIAL,Y,,,
90404,10,2018,INDUSTRIAL,Y,,,
90404,10,2018,RESIDENTIAL,N,10113,175455,17.3495
90404,11,2018,COMMERCIAL,Y,,,
90404,11,2018,INDUSTRIAL,Y,,,
90404,11,2018,RESIDENTIAL,N,10117,197357,19.5075
90404,12,2018,COMMERCIAL,Y,,,
90404,12,2018,INDUSTRIAL,Y,,,
90404,12,2018,RESIDENTIAL,N,10122,273502,27.0205
